title,category
 돌아온 외국인   코스피      선 탈환,Economic
롯데 이어 신세계도  대기업이  중고 에 꽂힌 이유는,Economic
 달서 푸르지오 시그니처  분양 아파트 오피스텔 총     가구,Economic
경기 시흥 대단지 아파트  신천역 한라비발디    일  순위 청약,Economic
아슬람 말릭 SK팜테코 대표      년 연매출    조 세포유전자 전문 CDMO로 도약 ,Economic
 해운  질주하는 신용도     년 산업별 신용 전망 ,Economic
    년 창립   주년 맞이하는 모다아울렛      년 대한민국 핫 플레이스 순위권 진입 ,Economic
 집값 떨어지고 이자는 늘고  주담대   대 코앞  속타는 영끌족,Economic
해외여행 아직이지만 대한항공  화물 호황에  훨훨 ,Economic
하나금투  와이지엔터  블랙핑크 컴백 지연 일회성 비용에  분기 어닝쇼크 ,Economic
수원 대기업 대형 산업단지 인근 지식산업센터 분양 예정,Economic
CU  PB 계란 출시  대형마트보다 최대     저렴 ,Economic
케이뱅크  아파트담보대출  조원 돌파   출시  년만,Economic
SK팜테코  올해 프리IPO 추진       년 연매출   억달러 목표 ,Economic
  분전략  코스피      까지 하락 위험 대응전략은 ,Economic
오화경 하나저축은행장   양극화 해소 위해 M A 규제 완화 시급 ,Economic
롯데홈쇼핑  프리미엄 리빙 상품 판매 확대,Economic
마트보다 싼 계란 편의점서  득템   CU  헤이루 계란득템 출시,Economic
한미약품  인도 자이더스 코로나 DNA백신 위탁생산,Economic
 금리 인상기  이익 증가하는 성장주 선별 투자 ,Economic
 코인투자자 떨고있나   데드크로스  비트코인 장중  만 달러 붕괴,Economic
같은 당에서도 다른 목소리 시장 역행하는  금융공약 ,Economic
한화투자   대우건설  주택매출 성장세 올해도 지속 ,Economic
통안증권  일간 최대  급등 한은 기준금리 추가 인상 선반영,Economic
파월 연준의장  인플레이션 고착화 막을 것 ,Economic
일진하이솔루스   소 부 장  으뜸기업 선정,Economic
현대차 기아 제네시스  권위있는 미국 디자인상 대거 수상,Economic
 유동성 논란  종목 간 밸류 간극 축소 전개 가능성 ,Economic
키움증권  코오롱인더   분기 영업익 기대치 하회 목표가  ,Economic
CJ제일제당  햇반 용기 회수해 재활용 한다,Economic
 신불당 동문 디 이스트 트윈스타  오늘 청약 접수,Economic
삼성   케이카  중고차 시장 규모 점유율 확대 수혜 기대 ,Economic
삼성운용  주요 ETF  종 보수 인하  업계 최저수준 ,Economic
LG전자  올해 역대 최대  매출 영업익 전망 이베스트,Economic
카카오그룹주   류영준 사퇴 에 동반 급락 지배구조 리스크  ,Economic
  번가  올해 월간십일절 쇼핑 키워드는  셀프 힐링 ,Economic
신세계 CVC 시그나이트파트너스  중고거래 앱  번개장터 에 투자,Economic
카카오  길어진 조정에 자회사 실적 추정치까지 하락 목표가       NH,Economic
 외환브리핑 위험자산 회피 심리 계속 환율      원선 공방전,Economic
바이옵트로  플립칩 볼그리드 어레이 업황 호혜 수혜주 하나,Economic
이베스트   한국금융지주  업황 둔화로 목표주가 소폭 하향 ,Economic
 물따라 돈 들어온다  수변 인근 집값 보니,Economic
한화투자   대우건설  주택매출 성장세 올해도 지속 ,Economic
IBK   신세계  백화점 면세점 실적 개선 목표가 유지 ,Economic
GS      년간 역삼동 한자리 지킨 최장수 경영주 배출,Economic
삼성전기  MLCC 업황 회복 가능성 높아 목표주가    만원  NH,Economic
 성과급         만원  은행 역대급 실적에 역대급 보상,Economic
연준 의장  높은 인플레이션 고착화 막을 수단 사용할 것 ,Economic
억만장자 빌 밀러  내 자산 절반은 비트코인   금융대재앙 대비 보험 ,Economic
오늘  분양 빅데이  하루에 전국 아파트  만가구 분양,Economic
대우건설  매각 프리미엄 소멸로 목표가  그래도 역사적 저점  NH,Economic
LX세미콘  높아진 이익 체력 유지   목표주가   만원 ,Economic
DB하이텍  구조적 성장 구간 진입 목표가  신한금융투자,Economic
경기 아파트 분양가  당     만원  서울 절반  청약경쟁률   대 ,Economic
크래프톤  신작 매출 정상화 느려 목표가  ,Economic
현대차   LG엔솔 빠진 LG화학  목표가   만원으로 하향 ,Economic
하나금융투자  금리 인상 땐 이익 증가하는 성장주 선별 ,Economic
  월 경상수지   개월 연속 흑자   수입물가 상승으로 흑자폭은 줄어,Economic
뉴욕증시  조기 긴축 우려 지속에 혼조세 나스닥 반등 마감,Economic
 웃돈  억 바로 주겠다  송파 리모델링 아파트에 무슨 일이,Economic
NH증권  매각 프리미엄 사라진 대우건설   목표주가      원 ,Economic
한미 엔지켐  인도 코로나   백신  자이코브 디  위탁생산 계약,Economic
JP모간 CEO  올해  경제 낙관 금리인상  회 전망,Economic
하이투자증권    연준 긴축 리스크 제한적   경기 사이클 모멘텀 주목 ,Economic
신세계  오미크론 확산에도 견조한 실적 향후 수익성 긍정적 IBK,Economic
 김대호 박사의 오늘 기업 사람  ASML 화홍반도체 신세계 이마트 LG화학 LG생건 카카오페이,Economic
테이크투와  빅딜  징가     급등   분 미국주식 ,Economic
국제통화기금    높은 수준의 인플레이션으로 예상보다 빠른 금리인상이 가능하다고 평가,Economic
유진투자증권  LG에너지솔루션 상장 코스피지수 부담 요인 ,Economic
 높아진 대출 문턱  규제 피한 단지는 어디 ,Economic
서울  반값  경기도에 몰린 청약통장  순위 평균   대  ,Economic
신한금투  코스닥  조정 국면 통과   IT하드웨어  주도주 부각 ,Economic
다가오는 금리 인상기  집값은 언제까지 오를까요   더 머니이스트 최원철의 미래집 ,Economic
정용진   멸공  관련 언급 그만    사태 수습 나서,Economic
 알폼정보  스타벅스는 왜 인기가 많을까,Economic
국토부 치적쌓기 고집   동자동  민간개발안  제시에도  시큰둥 ,Economic
      퇴직연금 ETF 시장 잡아라  기업은행도 참전,Economic
동네북 전락한 기재부 대선 후보까지  이래라 저래라 ,Economic
 멸공  정용진 주가 하락에 오너리스크  멸공 언급 그만하겠다  수습 나서,Economic
 이자부담 조삼모사  우리   우대금리보다 가산금리 더 높여,Economic
 출근길 인터뷰   먹는치료제  이번주 도입 국산 백신 개발 현황은 ,Economic
이베스트   컴투스홀딩스  NFT 검증 필요 매수 중립 하향 ,Economic
JP모간 CEO  올해  경제 낙관 금리인상  회 전망,Economic
국민연금  소득대체율     유지하려면 미래세대 보험료  배 더 내야,Economic
카카오   Q 실적 컨센서스 하회 전망 목표가  NH투자증권,Economic
 주식 매각 논란  류영준 카카오 대표내정자 자진사퇴,Economic
 이슈분석  첫날부터 북새통 역대급 물량 쏟아지는 사전청약 기대감 UP,Economic
