title,category
새해 아파트 분양매물 쏟아지나  월 전국  만   세대 예정,Economic
 소득 안봐요   년 거주 공공전세  서초구        억에,Economic
LG생건 아모레퍼시픽 우울한 화장품   먹구름  언제 빠질지 모른다 ,Economic
지난해 연말정산 환급액  인당   만원 올해는 ,Economic
소상공인 손실보상 선지급    만원 내주 신청 시작  설 전 지급  종합 ,Economic
 먹튀 논란  류영준 카카오 차기대표 내정자 자진 사퇴,Economic
환율 뛰자 팔았다    대 은행  지난해 달러 예금       뚝 ,Economic
 차 사전청약 접수 서울 대방 등 경쟁 치열할 듯,Economic
    월 금리인상론  급부상 실업률  팬데믹 이전에 가까워졌다,Economic
 종목속으로  하락세 뚜렷 카카오게임즈 대표 게임 실적에 매출  흔들흔들 ,Economic
 속보   먹튀 논란  류영준 카카오 공동대표 내정자 자진사퇴,Economic
코스피  외인 기관 매도 폭탄에     선까지 내줘,Economic
    억 없어졌다 는 김병현에 존리  버거집 닫아라  쓴소리,Economic
국민연금 급여액 올해      인상 부양가족도 증액,Economic
쌍용차 에디슨모터스   일 본계약 체결,Economic
소상공인  전액 손실보상  확대되나 재정 추가투입 불가피,Economic
  만원중 포장값만   만원  예쁜 쓰레기  쏟는 샤넬의 궤변  패션  지구촌 재앙 됐다 ,Economic
현대모비스  자율주행 솔루션  기업으로,Economic
카카오 그룹주 일제히 급락 카카오 장중   만원 깨져  카뱅은    추락,Economic
연말정산 환급액  작년  인당   만원 올해 더 늘어날 전망,Economic
SK의 야심작  AI 반도체  ICT  사  조 공동투자  시너지 ,Economic
 뉴스포커스  신규확진      명 해외유입 또 두 번째 많아,Economic
코스피    가파른 긴축 우려에   대 하락 LG생건   어닝쇼크  우려    대 급락,Economic
지난해 연말정산 환급액  인당   만원 올해는 ,Economic
같은 송도인데 미달vs흥행  분양가  억 이 가른 청약 희비,Economic
버블붕괴보다 상승세 둔화 금리가 변수,Economic
삼성  코로나 후 어깨 더 무거워졌다,Economic
연준 양적 긴축 공포 코로나   리스크     선까지 밀린 코스피,Economic
 불꺼진 은행 점포 강남도 명동도 줄폐점 올  분기에만    곳 철수,Economic
홈플러스 부산 가야점  폐점 대신  미래형 마트 로 재오픈,Economic
 방역패스 없이 장 보는 곳 어딘가요  유통가 엇갈린 희비  언박싱 ,Economic
얼어붙은 경매시장 아파트 낙찰률       연중 최저치,Economic
한국조선해양  선박   척  수주  조    억 규모,Economic
민간공원 특례사업 아파트 인기  웃돈만  억 ,Economic
 수입 스포츠카 법인차로 모는 얌체족  윤석열이 막는다,Economic
아파트 경매시장도 얼어붙었다     월 낙찰률  연중 최저 ,Economic
  땅짚고 헤엄  대부업도 담보대출로 장사  신용대출 비중 처음 추월했다,Economic
계속되는 악재에   만원선 무너진 카카오  증시이슈 ,Economic
삼성전자 목표가 올린 증권사   팔자 행보  왜 ,Economic
유진투자  올해 바이플레이션 상반기 인플레 하반기 디플레 ,Economic
     년   판매 절반은 친환경차 현대차  현지에서 전기차 생산할것 ,Economic
 움직이는 플레이스테이션  소니카를 볼 수 있을까 이건혁 기자의 CES 후일담 ,Economic
삼성SDI  헝가리에 대규모 인력 보낸다,Economic
 단독  공동 관리인  카드 꺼낸 에디슨 쌍용차 경영정상화 시동,Economic
같은 송도인데 미달vs흥행  분양가  억 이 가른 청약 희비,Economic
버블붕괴보다 상승세 둔화 금리가 변수,Economic
삼성  코로나 후 어깨 더 무거워졌다,Economic
연준 양적 긴축 공포 코로나   리스크     선까지 밀린 코스피,Economic
 불꺼진 은행 점포 강남도 명동도 줄폐점 올  분기에만    곳 철수,Economic
홈플러스 부산 가야점  폐점 대신  미래형 마트 로 재오픈,Economic
 방역패스 없이 장 보는 곳 어딘가요  유통가 엇갈린 희비  언박싱 ,Economic
얼어붙은 경매시장 아파트 낙찰률       연중 최저치,Economic
 타볼레오  년만에 돌아온  해치백 왕좌  폭스바겐  세대 골프,Economic
 단독 동원F B   월 중 어묵   종 가격 평균    대 인상,Economic
   숲 미국에서 혼다 제친 현대차  이유 있는 질주,Economic
연초부터 흔들린 게임    주식부자 순위 지각변동,Economic
한국조선해양  일주일 새 선박   척 수주  총  조원 규모,Economic
정태영  아직 정장입고 대면결재 하면서 앱을 만들겠다니    ,Economic
옆집 전세  억원인데  우린  억  서초 노원 공공전세 청약접수,Economic
 K 리츠 총자산   조 시대    인플레 대안으로 눈에 띄네 ,Economic
변동성 커지는 시장 기대 수익률 낮춰라,Economic
국채금리 들썩 시장금리 또 오르나,Economic
롯데  정준호   명품 경쟁력 올리고 식품에 힘준다,Economic
새해에도 계속되는  보복소비    만원 버거에도 줄선다,Economic
한국조선해양   조    억원 규모 선박  척 수주,Economic
모바일 뭔지 모르는데   대형마트 방역패스  고령층은 ,Economic
LX인터내셔널  중국산 요소     t 국내 반입     일 도착,Economic
소상공인 손실보상 선지급    만원 지급 신청  부제 시행,Economic
 손실보상    만원    일부터 신청  일 이내 신속 지급  종합 ,Economic
서울 아파트 전셋값도 하락세 만기 앞두고  급전세  늘어,Economic
 fn마켓워치   AI 자산관리업체  위  파운트  한국포스증권  대 주주로,Economic
손실보상 선지급 신청    일부터 시작,Economic
소상공인 손실보상 선지급    만원 내주 신청 시작,Economic
설 연휴 전 손실보상금    만 원 우선 지원,Economic
손실보상    만 원 선지급   일부터 신청 신청하면  일 안 지급,Economic
연준 양적 긴축에 중국 리스크  악재 속출      선까지 밀려난 코스피,Economic
중기부  소상공인   만명에 손실보상    만원 선지급 하겠다 ,Economic
 규제공화국  고속도로 못 달리는 자율주행차  공론화되면 오히려 역효과 ,Economic
 손실보상    만원    일부터 신청 영업제한 소상공인   만개사 대상,Economic
    만원 선지급  손실보상금   일부터  부제 실시,Economic
이달 아파트  큰 장  선다 전국  만    여 가구 분양,Economic
 세무사 뿐이겠냐  자격시험 공무원 특혜 논란 재점화,Economic
신세계 건설 강세 정용진 부회장  멸공  주목 때문   증시이슈 ,Economic
이달 전국 분양  만      여 가구 예정     년 이후  월 기준 최다,Economic
 연말 움츠러든 아파트 경매 시장   작년   월 낙찰률 연중 최저,Economic
 이진우의 주간증시   양적긴축  시대 개막 역대급 조정이 온다 ,Economic
한국조선해양   조    억원 수주  친환경 선박 문의 쏟아진다 ,Economic
 짜파구리 없나요    K 라면    년 만에 또 사상 최대 수출,Economic
 이슈앤 직설  긴축 앞당긴   연준 불확실성 짙어진 금융시장  긴장 ,Economic
EUV 장비제조사 ASML  독일 화재로 인한 고객 영향 최소화 ,Economic
 규제공화국    년 후     시장 열리는데 인도 주행도 못하는 배달로봇,Economic
 미국산 쇠고기 수입반대  겪은 한국   작년 일본 제치고 최대 수입국,Economic
    만 가구  임인년 첫 달부터 분양 큰장   월 사전청약 입주자 모집  월 대선 피하자 ,Economic
외국인  지난달 국내 주식  조    억원 순매수,Economic
강원 홍천서 테라스형 타운하우스  홍천 리빙웰타운  분양중,Economic
쌍용차 에디슨모터스 합의 도출   일 본계약 체결,Economic
새해 아파트 상승률   위 대부분 비수도권  위는,Economic
