title,category
모임    명 점진적 완화 검토  거리두기 조정 오미크론 변수,IT
 단 하루만에  천원  만원  코린이도 놀란 대반전  이것 ,IT
삼성 갤럭시S   공개 임박   은 폴더블 내놓으며 공세,IT
결국 백기든 애플  한국서만 외부결제 허용,IT
신규 확진자 닷새 연속     명대  오미크론     수준,IT
위메이드  위믹스 대량 매도 논란에  장기적 가치 위해 정보공개 투명하게 할 방침 ,IT
갤폴드 에 대놓고  사용성 우리가 낫다      아너   매직V  공개,IT
길랑바레 뇌정맥동 혈전증  방역패스 예외 사유 검토,IT
 이정재도 명품 팔더니      억원 잭팟 터진  이곳 ,IT
상장 궤도 올라탄 LG엔솔 LG화학  개미 는 화났다 왜 ,IT
 ET   G 주파수 놓고 통신  사  옥신각신  왜 ,IT
 백기 든 애플  앱 내 외부결제 허용키로,IT
    연구비 주며   학생 받지 말라  압박    은   서 외면받은 연구 도 관심 ,IT
 암세포 돕는 대식세포 활동 차단 항체 신약물질 연말 전임상 돌입 ,IT
카카오페이  경영진 먹튀  후폭풍 지속 방지책 마련 요구 비등 종합 ,IT
마이클 박 엠파워 대표  G  경쟁   엔 기회     약한고리  수소기술   와 협력 유망 ,IT
춤추는 이재명  AI 윤석렬 뒤엔 디지털 조력자 있었다,IT
SNS 한줄이 이슈 삼키다 진화하는 디지털 선거운동,IT
돈벌기는 안되고 옷벗기기 게임은 가능  도마 오른  등급 잣대 ,IT
 돼지 심장 사람에 세계 첫 이식  현재까지 상태 양호  예후 주시,IT
 한국 예능 부러웠나   일본  이 커플  못 봐서 안달났다,IT
 넘버스 AI 메타버스 구독 투자 앞둔 SKT  곳간 따져보니,IT
현대차 기아 제네시스          굿디자인 어워드  수상,IT
 DD s톡   바닥이 없네  크래프톤  상장 이후 최저가  거래일 연속 하락,IT
 제약 바이오 대세는 세포 유전자 치료제 ,IT
 DD 퇴근길  이재명 윤석열  차기 대통령 기념품  NFT  보고 가세요 ,IT
손정의  쿠팡 다음 이 회사 찍었다     억 통큰 투자,IT
SK팜테코   년내 매출  조  유전자약 CDMO 진출 선언,IT
 단독 삼양씨앤씨  웹툰 제작사  넥스트레벨  설립 카카오엔터  유증 참여로 IP 확보 ,IT
시한부 환자에  돼지 심장  이식한   연구진  초기 거부반응 없어 성공 기대 ,IT
 돼지심장 이 사람 가슴서 뛴다  장기부족 해결 첫발 ,IT
SK팜테코  내년 나스닥 상장     년 매출   억달러 목표 ,IT
 단독  과기정통부   G 주파수 할당 연구반   일 재개 이통 사 배제,IT
 영상  영화  돈 룩 업  현실이라면   우주로 쏘는 다트  최초 지구 방위실험 ,IT
쑥쑥 크는 키즈폰 시장 새학기 신모델 경쟁,IT
천왕성  해왕성에는 진짜  다이아몬드 비 가 내린다,IT
한정애 장관  택소노미에 원전 포함 안 돼도 투자 막지 않는다 ,IT
변재일 의원  이재명 후보 직속 특임 본부장 임명,IT
커진 테슬라 변동성 삼화콘덴서 KEC 명신산업 엘앤에프 관련 기업들 엇갈린 희비,IT
 설강화 역사왜곡 우려 알고 있니    학자들 디즈니 에 공개서한,IT
국내 입국자 PCR 음성 확인 기준 강화한다,IT
오미크론 백신  월 나온다   당국  곧바로 도입 가능 ,IT
 알뜰폰  지금     이통 사 규제하자  국회 정부  한목소리   IT돋보기 ,IT
 김현아의 IT세상읽기 통신호텔과 주파수 공정성,IT
형질전환돼지 심장을 사람에게   이종 심장이식 수술 첫 성공,IT
화이자  먹는 코로나 치료제    일 낮   시 인천공항 도착 유한양행 국내 유통,IT
 IT돋보기  배민 이어 요기요  기웃  라이브커머스  제 격돌 ,IT
P E부터 옷벗기기 게임까지 구멍뚫린 게임물 검증에 이용자만  울상 ,IT
중국 시장 재도전하는 삼성     폴더블폰  카피캣  극복할까,IT
 기자수첩  이재명 대통령 후보 게임 메타버스 특보단에 거는 기대,IT
삼성  갤럭시탭S  울트라  국내 전파인증  월 언팩서 공개할듯,IT
인텔    세대 프로세서 앞세워 AMD 공백기 공략,IT
 게이머들 좋겠네  고성능 게이밍 기어 신제품 봇물,IT
SaaS 가로막는 금융권 망분리   클라우드 산업 활성화 걸림돌,IT
 스페셜리포트  차세대 차량용 반도체 생태계  급물살 ,IT
부품업계  애플카 공급망 진입 총력전,IT
노트북도 OLED가 대세  작년 출하량      껑충,IT
 IT돋보기  외국계 IT기업  여성 리더가 뜬다,IT
애플워치  혈당 체온 측정 구현 불발  삼성전자  올해  반사이익  기대,IT
CJ의 바이오 귀환   장   속 미생물 로 승부수,IT
 너무 똑같죠   삼성 베낀 중국  우리가 한수 위  적반하장,IT
 이구순의 느린걸음  발목잡기식 주파수 논쟁 말고  G서비스 경쟁해야,IT
인텔  CFO 교체 마이크론 데이비드 진스너 영입,IT
 네이버 인증서 로    월의 월급  연말정산도 OK,IT
 리뷰  책상에 주는 공간의 여유  카멜마운트 고든 프로 UMA   모니터 암,IT
한국마이크로소프트  서피스 프로   사전예약 시작,IT
 화웨이서 분리  아너도 첫 폴더블폰    만원부터,IT
통신업계  애플  웹 익명성  기능  통신망 관리 능력 침해 ,IT
EV 앞세운 현대차그룹    눈길 사로잡았다 굿디자인상  싹쓸이 ,IT
 블록버스터  신약 기대주는  변이암 표적치료 황반변성 치료제 등,IT
LCD  가격 하락세 지속 DSCC    분기  전년비     인하 ,IT
화이자  먹는 코로나 치료제    일부터 처방 유한양행 유통,IT
 갤Z폴드  판박이네    아너  첫 폴더블폰  매직 V  공개,IT
 게임사 ESG진단   게임사 ESG 원탑은 어디   엔씨소프트 ,IT
카카오엔터X트레져스클럽  웹툰  빈껍데기 공작부인  NFT 발행,IT
메타버스 모빌리티  롯데정보통신 주가의 이유 있는 강세,IT
 단독   통신 먹통  시간 돼야 배상   공정위  불공정 약관 조사 착수,IT
 연예인보다 낫나요   윤종신이 찜한   살  이 여자  누구,IT
LG화학  양극재 내재화에  가속        년 LG엔솔 수요     조달,IT
LG화학  구미 세계 최대 양극재 공장 건설에     억 투자,IT
IT 대장주  휘청  네이버 카카오 새해 시총   조 증발,IT
 뉴스 줌인  애플  첫 인앱결제 예외 허용   실효성 확보 과제,IT
  일 배틀그라운드 무료화  한국 패키지 게임 첫 시도,IT
삼성  더 프리스타일  예약판매   분 만에 완판,IT
삼성  폴더블폰 상승세 이어갈까 다음달  노트 품은 갤S    출격,IT
삼성 보급형폰  갤S   FE  글로벌 출시  중국폰 넘어 전작 흥행 이어갈까 ,IT
삼성  갤럭시탭S  울트라    전파인증  월 공개될 듯,IT
롯데온  직급 없애고 절대평가 도입  커리어 레벨제  시행,IT
 ET뷰 현대차  차량용 반도체 생태계  스피드업 ,IT
이통사 알뜰폰  청년층 통신비 경감,IT
구혜선 메타캣  내달 스타연예인 PFP NFT 발행,IT
    년  서울 거제  KTX로  시간대에 간다  조 천억 투자,IT
    만원짜리   분만에 동났다  불티나게 팔리는 삼성의 혁신 스크린,IT
 아너  폴더블폰  매직V  공개     갤럭시Z 폴드 와 대결 ,IT
반도체 부품 부족   서버 스마트폰 타격 여전   노트북 PC 완화 ,IT
    년 폴더블 스마트폰  R  삼성전자 vs 중국 연합 ,IT
애플   자 결제 허용 발표 업계  구글보다 나은 안 제시해야 ,IT
애플  결국 우리나라에 백기 투항   제 자 결제 허용 ,IT
회귀성 어종 연어 방향감각 뿌리는 수십억년 전 고세균,IT
이재명과 윤석열  과학기술정책이요  다른 사람 보낼게요  ,IT
  조원짜리 우주망원경  최대 복병은  우주 파편  충돌,IT
 과학기술 중요한 시기에  이재명 윤석열 불참 앙꼬빠진  과기정책  토론,IT
디즈니  헤드셋 없는 메타버스 테마파크 만드나,IT
자사 주식 팔아 수백억 차익 논란 류영준 카카오 공동대표 내정자 사퇴,IT
LG화학  국내 최대  만톤 규모 이차전지 양극재 공장 신설,IT
삼성  더 프리스타일  예약 판매 돌입   스마트 스크린  시장 달군다,IT
 우주를 보다  아름다운 나선팔 초신성 품은 은하 NGC     포착,IT
 전화도 문자도 멈췄다   깡통 된 블랙베리  눈물의 이별식,IT
함익병 유튜브 콘텐츠 삭제 정권 배후설 진짜일까,IT
OTT 요금인상 청구서 줄줄이 날아드나,IT
택시 잠잠하니 페이에서  잡음  카카오  잇단  자회사 리스크  해법 없나,IT
데이터 더 주고  리필하고    과기정통부  청년 통신비 부담 완화나서,IT
SKT KT    대 청년에  추가 데이터  리필쿠폰  쏜다,IT
삼성전자  갤S  용 AP  엑시노스      공개 연기,IT
