title,category
바닥은 어디    비트코인  연준 양적긴축 예고에    하락,IT
 연예인 일감 다 끊기겠네  뮤비촬영   세 LG 김래아 가수  깜짝 데뷔 ,IT
 화면 주름 없어진다  폴더블 아이폰 예상 이미지 살펴보니,IT
 정치풍자 바로 이거지  도리도리 PC방 간 아들까지 OTT 타고 부활 인싸IT ,IT
충격적이고 잊고 싶은 기억  지우는 방법 찾았다,IT
 년 만에 전시장 연 CES    신기술은 뜨겁지만  오미크론 여파에  한산 ,IT
ASML 베를린 공장 화재 반도체 업계  노심초사 ,IT
   극초음속 미사일  발사 실험에 시끌 시끌   기존 방어체계로는 요격 불가능 ,IT
넥슨   어벤져스  감독이 세운 제작사에     억원 투자 종합 ,IT
 악성코드 자동 차단하는 안심 인터넷 나온다   월    원 비싸,IT
구글       년 안드로이드 로드맵 서 애플 쏙 빼닮은 기능 줄줄이 공개,IT
와이푸 논란 한국게임학회  게임위 운영능력 의심 ,IT
정몽구 정의선 회장   내부거래 규제 에 현대글로비스 지분     매각,IT
한종희  매출 늘어 탄소 배출량 증가  삼성전자  불명확한 탄소 감축 의지,IT
  빠른 금리인상 예고에 비트코인 등 주요 가상자산 하락,IT
P E 규제 개선 물꼬 트이나    컴투스 본사 찾는다,IT
 CES      현장에서   Welcome to Tomorrow   년 만에 오프라인으로 돌아온 CES 개막,IT
막 오른 새해 스마트폰 전쟁   중저가부터 플래그십까지 대격돌 ,IT
 이선영의 시선   딩동  소리 나는 매질,IT
 생쥐 공포기억 없앴다  외상후스트레스장애 치료제 나올까,IT
넥슨  글로벌엔터 AGBO에     억 투자,IT
옷 벗기기 게임이 청소년 이용가  게임학회  구글 게임위가 낳은 결과 ,IT
 핵잼 사이언스  약    년 전  중국 포도주  만들던 양조장 유적지 발굴,IT
 CES       로보트 태권V가 현실로 서울대 아바타 로봇  도깨비  눈길,IT
 안녕  자연  녹으면 지구 재앙 남극  종말의 날 빙하  조사 시작,IT
한종희  삼성 TV   년 연속  위 했지만 도약 필요한 시점   CES      ,IT
삼성 노태문 MX사업부장  새로운 폼팩터 최적 시점 출시 ,IT
 CES       한종희 삼성전자 부회장  LG OLED 탑재 가능성 열려 있어 ,IT
 CES       노태문 삼성전자 사장  프리미엄폰 위상 되찾겠다 갤S   조만간 공개 ,IT
크래프톤 배틀그라운드       업데이트 예고,IT
세계 최초 위성으로  G 통신 성공,IT
 CES       미리 만나 본 에이수스 폴더블 PC  젠북    폴드 OLED ,IT
 오 컬쳐  아시아의 디즈니  꿈꾸는 넥슨 AGBO     억 베팅 의미는,IT
엔씨  K 팝 플랫폼  유니버스 로 메타버스 시동,IT
 주파수논쟁   지금     년 은 맞고 그때     년 는 틀리다 ,IT
 주파수논쟁   뜨거운 감자  G 주파수 추가 할당  불공정  논란 과열,IT
국내 순수 SW 생산액 첫   조원 돌파,IT
싸이월드  부활 성공할까  인지도보다 콘텐츠로 승부해야 ,IT
   세계 최초로  G 위성 다중연결망 통한 대륙간 연동 성공,IT
클라우드 떼는 NHN  싸늘한 투심도 정면돌파 할 수 있을까,IT
 월 산불 위험성  심상치 않아  발생 비율 매년 높아져,IT
사람과 너무 닮은 아메카 로봇  CES     에 등장,IT
 증시이슈   분기 매출 급감  오딘  카카오게임즈도    대 급락,IT
ETRI  위성 통한 대륙간 끊김없는  G 통신 서비스 세계 최초 성공,IT
 CES      삼성전자 부스 찾은 정의선,IT
 출고가    만원    만원에 팔렸다  또 나온  올림픽폰  이번엔 웃돈 얼마나 붙을까,IT
배양육 상품화  청신호  아기 소 희생 없는  무혈청 배양액  잇단 개발,IT
지금까지의 메타버스는 틀렸다 ,IT
사과에도  부글  카카오노조   먹튀 논란  류영준 대표 내정 철회하라 ,IT
P E 메타버스 등에 업고 상승한 게임 코인 남은 과제는 ,IT
LG화학  고형암 및 혈액암 치료 면역항암제 개발 본격화,IT
 한국 프랑스  만    G 실시간 연결  K 위성 을 더했다,IT
네이버쇼핑  정책변경 공지 하루만에 바꿔치기 입점업체 혼선,IT
코로나  에   대 남성 비만율 상승 불어난 체중 척추에 부담,IT
오스템임플란트 횡령사고  CMS 가동됐다면 막을 수 있었다 뒤늦은 탄식,IT
넥슨  어벤져스 제작사 품다   IP 확장  속도,IT
유출된  갤럭시S   울트라  모형  S  과 비교해보니,IT
 월간 브라우저   월  그룹화된 국내 웹브라우저 시장    부진하던 웨일은 약진,IT
반도체 공급난  파운드리 양극화  심화  왜   IT클로즈업 ,IT
 유틸렉스  올 상반기 임상 중간결과 발표 기대 ,IT
애플 디벨로퍼 아카데미  아이폰 맥 무상 제공에 장학금 매달 지급,IT
작년 개발자 가장 많이 늘어난 프로젝트  테라 솔라나 니어 순 등,IT
넥슨  루소 형제 엔터 제작사 AGBO에     억원 투자,IT
 인류의 눈  제임스 웹이 우주에서 변신하는 이유 과학을읽다 ,IT
LG화학  고형암 혈액암 치료 면역항암제 개발 본격화,IT
넥슨 게임이 영화로   어벤져스  루소형제 제작사에     억원 투자,IT
스텔란티스 아마존 협력에 리비안 주가 폭락,IT
넥슨   어벤저스  루소 형제 엔터 제작사 AGBO에  억 달러 투자,IT
ETRI  세계 첫  G 위성 다중망 대륙간 연결 성공,IT
 단독  국토부   배민 쿠팡 요기요  배달  개사 호출   왜 ,IT
넥슨  루소 형제 엔터 제작사 AGBO에  억 달러 투자,IT
아이폰     개업체가 생산   럭스쉐어도 참여,IT
 지놈앤컴퍼니  항암 임상 유효성 데이터 확인이 중요 ,IT
허블 우주 망원경  우주에서   억 초 보냈다  우주로 간다 ,IT
일주일 간 가장 많이 팔린 NFT  선   최고가     만달러 ,IT
항생제 내성균     년 전 고슴도치에서 나왔다,IT
 이것만 있으면 TV 없어도 되겠는데   삼성  히든카드   영상   CES      ,IT
 매의 발톱    연준에 비트코인 폭락  추가 하락 가능성 ,IT
 글로벌포스트    FOMC 충격에 비트코인    급락,IT
  연준 금리인상 긴축정책 동시에   뉴욕 증시 하락,IT
 애플 생태계  따라잡는 구글 윈도우 BMW와 호환성 높아진다,IT
 창립  주년  빗썸  암호화폐 넘어 블록체인 콘텐츠 백화점 될 것 ,IT
SK그룹 CES서  일상 속 탄소감축  의지 AI 반도체 선보여,IT
소프트뱅크벤처스 네이버D SF가 주목한  커머스  스타트업 보니,IT
케이뱅크  KT 목동 IDC로 새 둥지 튼다,IT
  일IT템  주름없이 펼쳐진다     접는 아이폰  예상 이미지보니,IT
 CES       유영상 SKT 사장  삼성전자 전시관 방문,IT
과징금 제재  년도 안됐는데 KT 또 개통 지연,IT
  하늘 나는 택시   년 뒤 온다  통신사들 뛰어드는 이유,IT
갈비 훔친 일본인  고든램지가 참교육   국뽕 유튜브  알고보니 ,IT
NFT에 올라탄 삼성 LG전자  TV에 거래 플랫폼 심는다,IT
 메타버스에 인공지능 쉽게 입힐 수 있는 비법 다 있죠 ,IT
한종희 부회장이 이끄는 삼성폰   갤S   FE  이어  갤S    출격 대기,IT
 G 상용화  년차인데 중저가 요금제 미루는 이통 사,IT
