title,category
민주   MB 아바타  재소환해   맹공  갑철수 반사체  종합 ,Politics
청년층 지지율  이재명       선두 안철수      로  위,Politics
 이재명 신경제  발표 윤  월    만원 부모급여 ,Politics
 뉴스썰기   코리아 디스카운트  놓고 정용진 vs 이재명 윤석열,Politics
노영민  한국당 지도부의 박근혜 석방 반대  야권표 분산 의식 때문 ,Politics
 뉴있저    이어  도  병사 봉급    만 원  공약   홍준표  헛소리 ,Politics
  지지율 반등    설 연휴 전까지 볼 필요 ,Politics
안철수  무조건 완주    은 쌍 포퓰리즘 ,Politics
이해찬  윤석열 저격  여가부 폐지  한심하고 고약한 일 ,Politics
윤석열  애 낳으면  년간 월    만 원 부모급여 ,Politics
   부모급여 월    만 원    대규모 재정 투입 공약,Politics
도입 반세기 된 F  E 전투기 또 추락  비상탈출 못 한 조종사 순직,Politics
   여가부 폐지  때린 이해찬  툭 내뱉는다고 정책인가 ,Politics
북    혹평에  더 센  탄도미사일로 응수 사거리 속도 급진전 종합 ,Politics
안철수      넘은  당 후보  DJ와 나뿐  단일화 선 긋기 썰전 라이브,Politics
  에 양보  가장 후회  속내 털어놓은 안철수,Politics
이준석이  에 한 말은  대선 지면 우리 둘만 집 간다 ,Politics
 인  표를 넘어  인  원 민주주의를 제안한다,Politics
이준석 안고 반등한 윤석열 지지율  웃음꽃 ,Politics
이해찬   여가부 폐지   에  마구잡이로 내뱉어 한심 고약 ,Politics
민주   MB 아바타  재소환해   맹공  갑철수 반사체  종합 ,Politics
광주 아파트 신축현장 외벽붕괴  명 소재 파악 안 돼,Politics
 군 면제  황교안  멸공의 횃불  결국 평양을 뒤덮게 될 것 ,Politics
민주당  국힘 실무진 불참으로 토론회 협상 무산  vs 국힘  협의 요청조차 없었다 ,Politics
황희두  진중권  어그로 끌고 도발하는  퇴물 악플러   건희 수호  열심히 하라 ,Politics
홍준표  윤석열 공약에  이재명과 뭐가 다른가 퍼주기 대선 ,Politics
침묵 깬     미사일 우려   은  종전선언 더 절실해졌다 ,Politics
이재명  부산 경부선 지하화    희망 고문  더는 안 된다 종합 ,Politics
이재명  대전환으로 세계  강 도약  이재노믹스 발표,Politics
 저질대선 참담  개탄한 홍준표  이재명 윤석열 싸잡아 비난,Politics
이재명  지하철 임산부석 앉았다  벌떡   치명적인 실수했다 ,Politics
문 대통령  대선 앞둔 시기  북한 연속 미사일 발사 우려  이례적 언급 왜 ,Politics
진중권   멸공  논란 관련   겨냥  적당히들 하라 ,Politics
   측 겉으론  단일화 필요 없다  기싸움 팽팽,Politics
 영상  김기현  YTN 돌발영상이 아니라 편파영상  법적 조치 주문,Politics
정성장  북한 발사체 극초음속 미사일 확실   미사일 시험발사 계속 진행 ,Politics
퇴역 앞둔 F E 전투기 또 추락  조종사 끝내 순직,Politics
 미사일에 정용진  OO  댓글    스벅 불매    스벅 인증샷,Politics
이재명  이재노믹스 디지털대전환 띄우며  경제대통령  부각 종합 ,Politics
대선   일 앞으로 야권  단일화  본격 논의 시작되나,Politics
치열해지는 야권 후보 단일화 신경전  관건은   월 지지율 ,Politics
   개발 초기단계 라더니      마하    탄도미사일 발사,Politics
 미사일 연속 발사에   정부   도발  대신  유감 대화 ,Politics
    필요 조치 강구    연초부터 한반도 먹구름,Politics
   진전된  탄도미사일 또 발사      유엔결의 명백한 위반 ,Politics
민주  윤석열   선제타격  발언 맹비난  전쟁하자는 거냐 ,Politics
북한  더 빠른 미사일 쐈는데 청와대  이번에도  도발  규정 안해,Politics
민주  국힘  멸공 릴레이  연일 비판  한심한 바보들의 행진 ,Politics
 추미애 지지  김민웅 목사  윤석열    선제타격  발언에  이 자를 반드시 몰아내야 ,Politics
 노후 전투기  F  E  화성시 야산에 추락,Politics
   세계  강으로      임대료 나눔제     강구도,Politics
 이재명 신경제  발표 윤석열  월    만원 부모급여 ,Politics
노영민  한국당 지도부의  석방 반대  야권표 분산 의식 ,Politics
    대북 선제타격론    향해  국민 볼모로 삼는 도박 멈춰라 ,Politics
 극초음속 아니다 는   보란 듯   속도  배 높여  도발 ,Politics
안철수  다당제로 가야 시대교체 가능  완주 의지,Politics
 야설      홍 대감님  경기도 차베스 우얄랍니까  ,Politics
윤석열  아이 낳으면  년간 월    만원  임대료 나눔제 도입 ,Politics
윤석열    미사일공격 조짐 때 킬체인 선제타격 에 민주 정의  전쟁광  버럭,Politics
헬멧 쓰고 호흡기 달고 윤석열  간호법  공정 상식에 합당하게 ,Politics
 영상 안철수  사병 월급    만 원      쌍포퓰리즘 군대 안 가봐서 몰라 ,Politics
   개발 초기단계 라더니      마하    탄도미사일 발사,Politics
 임대료 나눔  사회주의냐     윤석열에 계속 까칠한 홍준표,Politics
구윤철  이재명 주장에 반박  기재부 힘 빼려다 더 세질 수 있다 ,Politics
 이  방역패스 점검  위해 갔다는 이마트 이수점  방역패스 대상 아니었다,Politics
 단독 민주당 의총에서 트럼프 전 대통령 동영상 튼 이유는 ,Politics
안철수  병사 월급    만원 불가능한 쌍포퓰리즘 ,Politics
허경영  결혼 안 한 이유 공개  내 마누라는 대한민국 ,Politics
 동물병원 폭파시키고 파  고민정    년 전  망언  캐낸 이유는,Politics
안철수  병사     만원  쌍포퓰리즘       총 안쏴봐서 몰라 ,Politics
    청년     단일후보  안철수       윤석열                에      p 앞서 한국리서치 ,Politics
     단일화 절대 쉽지 않아   은 본격 검증 시작될 것   세상을 보는 창 ,Politics
추미애   멸공 논란   윤석열  해명이 자꾸만 수렁으로 ,Politics
북    혹평에  더 센  탄도미사일로 응수 사거리 속도 급진전,Politics
    측  KBS토론 실무회의 불참   측  거짓 주장  종합 ,Politics
     끌려는 송영길  이재명은 문재인 정부에서 탄압받던 사람 ,Politics
 멸공 자제  기류에도 태영호 가세연  신세계 지원사격  이슈시개 ,Politics
   오미크론 대응 관건은   대 이하  차 접종 소아청소년 접종 확대도  종합 ,Politics
홍준표  반장 선거도 아니고 대선 왜 이리 저급한가 ,Politics
KBS 공문 놓고 윤석열 이재명 캠프 공방 왜 ,Politics
윤석열    핵미사일 발사 조짐시 선제타격  민주  인식 심각 ,Politics
   세계  강 도약     민간 중심 변화 ,Politics
  지지율 바닥론  띄우기 국힘 내부  단일화 찬반론  고개 종합 ,Politics
전두환 김부선 벽화 사고친 그들  쥴리와 우린 결 다르다   보이스 ,Politics
 속보 윤석열  비과학적 방역패스 철회  아동청소년 강제적 백신접종 반대 ,Politics
심상정 측     김만배 발언 제소 에  전두환 보도지침 연상 ,Politics
윤석열  간호사 합당한 처우해야  간호법 제정 에 최선  종합 ,Politics
송영길     정권교체 대안 못돼  석 미니정당의 한계 ,Politics
공수처 이어 감사원도 통신조회   최재형  상상하기도 어려운 일 ,Politics
유시민   캠프 극우청년 일베놀이     자신들과 다르면 무조건 비하 ,Politics
