title,category
원희룡  여가부 폐지  발표전에 몰랐다 달파멸공 동의 어려워 ,Politics
안철수  상승세 보이자 네거티브  역시 드루킹 동료들 ,Politics
 영상  대선판 흔드는 여성가족부 폐지론 정당별 입장은,Politics
 청년 표를 잡아라  대선판에 떠오른  젠더 이슈  누가 웃을까,Politics
 단독  국민의힘  메타버스 공개 콘테스트 로 선거송 뽑는다,Politics
 멸공챌린지  논란에 윤석열  필요한 물건 산 것뿐 누구나 표현의 자유 ,Politics
청년보좌역  윤석열 선대본부 새로운 동력으로,Politics
윤석열   멸콩  논란에  멸치 육수 콩국 자주 먹어 산 것 ,Politics
 멸공  논란에 최대집  멸치 콩 사진으로 희화화 곤란  이슈시개 ,Politics
정책본부장도 몰랐다는  의 공약 원희룡  여가부 폐지  몰랐다 ,Politics
 대선주자 여론조사   오마이뉴스  주간 집계  이재명        윤석열        안철수       ,Politics
이준석  이재명 삶이 페미니즘과 호환되는가 ,Politics
원희룡   차 접종 뒤 사흘 죽다 살아 눈 뜨니 선대위 사라졌더라 ,Politics
    생각 없다지만 커지는 단일화론  DJP 식 공동정부론도 거론,Politics
    멸공  논란에  누구나 표현의 자유 멸치 콩 자주 사 ,Politics
윤석열  GTX E 신설해 서울 도심까지   분 경인선 지하화 ,Politics
    월급 논란 일축    대 남성만을 위한 것 아냐 ,Politics
윤석열   주   시간  유연화 강조   국민합의 다시 ,Politics
우상호 야권 단일화 블랙 시나리오        변곡점  시기 촉박 역전 불가능 ,Politics
대선 이슈로 부상한 방역패스 각당 후보 입장은 ,Politics
로봇 분대원이 GOP 보초 서나 부상병 실어나르는 무인차량,Politics
    만 표심 달렸다 대선판 흔드는  탈모 건보  논란,Politics
   병사 봉급    만원  내부서도 쓴 소리    그 공약 헛소리 ,Politics
 뉴스  PICK  멸공  메시지 논란 윤석열  원래 멸치와 콩 많이 먹어 ,Politics
김민웅 목사  윤석열 저격  김건희  리스크  아닌  크라임  기만을 격파해야 ,Politics
윤호중  윤석열   묻지마 봉합  이후 이준석 감독 아래 대놓고 막장 연기  맹공,Politics
지지율 정체에  단일화 촉각    경제 드라이브 로    벽 뚫나,Politics
윤석열  인천상륙작전처럼 역전드라마 시작할 것 ,Politics
윤석열  쇼츠    탄 공약  저상버스 도입 확대 법인차량 번호판 색상 구분  발표,Politics
 이준석 합류해도 지지율 안 나오면  문제는 또 터질 것   이영광의 거침없이 묻는 인터뷰 ,Politics
윤석열  인천 선대위 출범식서  선물 보따리   인천은 역전과 재도약의 상징 ,Politics
윤석열  김종인 복귀 가능성 묻자  그럴 일 없다 ,Politics
원희룡     여가부 폐지  몰랐다   달파멸콩 은 저도 썩  ,Politics
심상정  태양광 전기차 등에    조 투자 일자리    만개 창출 ,Politics
   매머드  대신  개썰매  타고 역전 노려,Politics
김의겸  정용진  군 면제 위해 체중 불려 ,Politics
황교익  멸치 콩 산다고 멸공 되겠나  으로 가라   에 맹폭,Politics
이재명   국가부도의 날  실제인물 최공필 소장 등  인 영입 종합 ,Politics
윤석열  광역급행철도 GTX E 노선 신설 경인선 지하화  인천 발전 공약 제시,Politics
