title,category
 석탄 금수  인니  주요 광물도 수출 중단 예고,World
레이 달리오  시진핑   주석의 공동부유에 찬사 보내,World
신규확진 하루     명대     갑자기 급증한 이유 ,World
SNS에 이런 글 써도 되나    생각했다면 당신도 피해자      대선 정책오픈마켓 ,World
화이자  오미크론용 백신  월에 나올 것    입원자 사상 최대,World
돼지 심장  사람에 이식 세계 첫 성공,World
 부랴부랴   차 접종 앞당긴      월 말까지 외국인 신규 입국 금지,World
미 코로나 하루 입원   만명 돌파 곳곳 일손부족 아우성 종합 ,World
국제사회 규탄에도 또 미사일 쏜 북한 미 일 유럽  대화 촉구,World
마윈  두달만에 모습 시골교사 행사 화상으로 참석,World
     인치도 나토 확장 안 한다던   년 전 약속 어겼다  푸틴 주장의 진실은 ,World
  산불로 잃어버린 반려견   개월 만에      눈 속에서 발견,World
 부유층 떠나고  일본은 침몰 중   언론이 비관한  가지 이유,World
 백신 안 맞을 거면 사표 써  월가서 이어지는 초강경책,World
커지는  T 공포     연준  번 이상 금리인상 할것 ,World
대만군 F   V 전투기  훈련 도중 실종 해상 추락 추정,World
 육류 유제품 안 먹는 여성 건강 나빠질 수 있어 ,World
 우크라이나 사태   시간 담판 벌인 미 러  양보는 없었다,World
 에너지회사의 황당한 난방비 절약 꿀팁  반려동물 애인 껴안기 ,World
    월 금리인상 확률       다급한 연준  떨고 있는 월가,World
 석탄 금수  인니  주요 광물도 수출 중단 예고,World
인니 광물수출 또 금지   이번엔 알루미늄 원료,World
AR 인재 쟁탈전   메타  MS서   여명 빼 가,World
원자재 시장  인도네시아 쇼크  보크사이트 구리도 수출 금지,World
 국무부  우크라이나 침공 시 러 제재   도 주요 협의 대상 ,World
미 일 유럽  한반도 CVID가 목표  북한에 촉구 한국은 불참 종합 ,World
전문가들  신속항원검사 음성 나와도    일 지나 추가 검사해야 ,World
우간다  세계 최장 학교 봉쇄 끝 등교 재개  그러나  미래가 사라졌다 ,World
이스라엘  신속 항원검사 때 코 목구멍 모두 찔러야 ,World
  시한부 환자에게 돼지 심장 첫 이식   역사적 분수령,World
사람 몸에 처음으로  돼지 심장  이식 현재 회복 중,World
 부유층이 버린 일본  몰락할 수도    매체가 경고한 이유는 ,World
세계 최초 인간 몸에 돼지 심장 이식 성공   획기적 돌파구,World
거리 떠돌던   대 남   년만에 연    억원 번다 성공 비결이,World
 나우  어스    샌프란시스코판 피사의 사탑    층 아파트     씩 기우뚱,World
 기업 때문에    관세 풀자   정부  인플레  해결안 놓고 삐걱,World
남들 다 오를 때 못 오른 중국 증시  올해는 다를까  강현우의 베이징나우 ,World
중국 시안  봉쇄 해제 조건 제시 삼성 반도체 정상화하나,World
 삼성  인텔 제치고 반도체  위  에 상징적 타격 ,World
 바늘 무서워   백신 못맞은 주사공포증 남성  코로나로 사망,World
 글로벌 What  일대일로 참여국      빚더미     에 채무탕감 요구 줄이어,World
 인권운동가  시진핑 겨냥  올림픽 경기 대신  곰돌이 푸  보자 ,World
화이자  오미크론용 백신  월에 나올 것    입원자 사상 최대,World
중국   탄도미사일 추정 발사에  과잉반응 말고 대화해야  종합 ,World
이코노미스트  오미크론 확산 후 확진자 격리기간 국가마다 큰 차이 ,World
홍콩  코로나 고위험 국가에 한국 등    개국 환승도 막을듯,World
외신     극초음속 미사일 발사 주장 일주일 만에  안보리 열리는데  ,World
홍콩   일부터 한국 등    개국발 환승금지 등교수업 중단 종합 보 ,World
메타버스 인력 빼가는 메타 MS서 대거 이탈,World
