title,category
돈줄죄기냐 강제침공이냐  러시아의 선택은,World
 뉴욕마감 나스닥       FOMC 의사록 양적긴축 논의,World
확산세 심각해진 유럽  프랑스   만명 등 연일 최다 신규확진,World
뉴욕증시  이르면  월 금리인상에 나스닥       급락,World
    만     만 등 각국 연일 신규 확진 최다 유럽  코로나   쓰나미,World
카자흐  연료값 항의시위  진압 난항 러시아에 SOS 종합 보 ,World
블링컨  우크라에 총구 대고는 진전 힘들다    손잡고 러 압박,World
 국무  우크라에 총구 대고는 진전 어려워  러에 긴장완화 압박,World
  하루 확진자     명 육박   개월 만에  차 재확산 촉각,World
   만명 관두고     만명 취직    코로나  대량 퇴직 이직 시대,World
확진 급증 사망 감소  디커플링   대유행 탈출 신호일까,World
   년   철옹성  깬 도요타  GM  반도체 대란 속  왕좌  내줬다,World
자신의 방귀 팔아 일주일에  억 벌던 인플루언서 돌연 판매 중단했다,World
백신  차도 맞아야 하나   해보니 항체  배  vs  비합리적 ,World
코로나 팬데믹에도  뉴욕 고급아파트 불티,World
 베이징 노트 한국교민과 조선족 동포가 함께한 베이징 송년회,World
Fed  예상보다 더 빨리 기준금리 인상할 수도 ,World
 K팝 비하 논란  이 나라  K팝 새 전진 기지로 떠올랐다,World
해리스  대사  이미 종전 선언 있다  그것은  정전협정 이고 잘 작동해 와 ,World
  CDC  확진     증가  파우치  오미크론 전염성 강력  종합 ,World
폭력 시위 사태 카자흐 대통령  알마티 공항 테러리스트에 점령 ,World
확진자 늘어도 사망률은 낮다  WHO  오미크론 디커플링 공식 확인,World
미 국무장관  러시아 향해  우크라에 총구 대고는 진전 어려워 ,World
러 우크라 침공 움직임   아마추어 탐정들 에게 들켰다,World
도요타   GM   년 아성  넘어    위  반도체 확보가 승부 갈라,World
해리스  종전선언 한다고 뭐가 바뀌나 ,World
 단독  새   작계에  대응 포함시키고   도 동맹차원 대만방어 기여해야 ,World
뉴욕시장은  출근하라   월가 직원들은  싫다 ,World
영국  해외 입국자 무증상자 검사 완화   만명 확진 종합 ,World
유럽서 들불처럼 확산하는 코로나   연일 신규 확진 최다 종합 ,World
 세계의 공장  중국 떠나는   기업 키워드는  자동화 와  거리 ,World
 오미크론 곧 우세종  독일  병원 등 종사자 격리   일  일로 종합 ,World
백신 미접종 조코비치  호주오픈 못 뛰나,World
 비상사태  카자흐  연료가 폭등 항의시위 격화 사망자 발생 통신 마비 종합 ,World
뉴욕시장은  출근하라   직원들은  싫다  고민 빠진 월가,World
영국  무증상자 검사 규정 완화 PCR 재확인 없이 바로 격리,World
마크롱  백신 미접종자 열받게 할 것  발언 후폭풍 백신패스 심의 중단,World
스웨덴 네덜란드 크로아티아 일일 신규 확진 최다,World
비아그라가 특효약  코로나 혼수상태 여성  투약 후 깨어나,World
  백화점 메이시스  직원들에 백신 접종 증명 요구,World
카자흐  연료가 폭등 항의시위 격화  시위 진압대원  명 사망  종합 보 ,World
미국 자동차 시장 격변  토요타    년 선두 GM 제치고  위,World
 오미크론 우세  스웨덴 네덜란드 크로아티아 최다 신규확진,World
마지노선  코로나 방역의 마지노선은 나부터,World
미국  북한 탄도미사일 발사 규탄 대북 외교적 접근 유지  종합 ,World
 주간 가슴 쿡쿡 찔러댄 반려견 병원 갔더니  유방암입니다 ,World
자가격리    만명 영국     무증상자는 PCR 불필요 ,World
중국도  백약이 무효  출생률   년 만에 최저,World
 갑자기 도로 좁아졌다  이틀간  절벽 매달린 화물차  아찔 ,World
바이든  화이자 알약 치료제 구매 물량  천만 명분으로  배 늘려 ,World
코로나 검사 기다리던 산모  결국 유산  분통 터지는 일 ,World
 비상사태  카자흐 사망자 발생  건물 불타고 통신 마비 종합 ,World
 선 의원 살해협박  는  접종의무화  제동 방역패스에 세계 각국 진통,World
